DATE,OPEN,HIGH,LOW,CLOSE,SPEED Signal SL,REV SL,SPEED Trend SL
10-04-2014,1484.45,1517.6,1475.75,1503.7,1419.87,1476.35,1408.83
11-04-2014,1485,1506.65,1480,1495.75,1443.56,1486.06,1408.83
15-04-2014,1494,1495.35,1434.3,1445.2,1445.01,1508.01,1408.83
16-04-2014,1447,1464.7,1427,1431.95,1496.78,1446.91,1408.83
17-04-2014,1437,1472.65,1437,1464.65,1490.83,1447.61,1408.83
21-04-2014,1470,1510,1469,1503.8,1435.71,1490.28,1419.87
22-04-2014,1506,1511.8,1488.1,1500.1,1448.54,1491.01,1425.72
23-04-2014,1492,1533.85,1492,1519.8,1463.6,1502.25,1425.72
25-04-2014,1522,1548,1501.15,1532.7,1481.35,1521.87,1425.72
28-04-2014,1550,1554.8,1525,1529.55,1496.25,1535.62,1425.72
29-04-2014,1536,1544.95,1507.7,1528.4,1502.35,1540.98,1435.71
30-04-2014,1537.9,1548.5,1497.15,1517.2,1495.8,1547.56,1467.68
02-05-2014,1525.35,1538.7,1518.5,1530.15,1495.8,1547.82,1486.76
05-05-2014,1535.95,1564.9,1521.5,1551.55,1512.07,1551.23,1490.66
06-05-2014,1555,1563.25,1528.5,1536.95,1512.96,1553.11,1495.8
07-05-2014,1533.7,1556,1516.7,1537.7,1514.67,1555.23,1495.8
08-05-2014,1542,1559.4,1533,1553.75,1515.33,1559.17,1495.8
09-05-2014,1555.9,1650,1547.75,1629,1531.62,1585.26,1495.8
12-05-2014,1653,1691.75,1639.1,1646.55,1546.36,1607.02,1515.33
13-05-2014,1675,1682,1640,1648.75,1574.94,1640.58,1515.33
14-05-2014,1652,1670,1630.35,1636.5,1595.65,1683.51,1515.33
15-05-2014,1640,1674.9,1639.05,1664.05,1616.78,1676.41,1515.33
16-05-2014,1750,1849.05,1684,1755,1637.57,1708.51,1531.62
19-05-2014,1777,1899.4,1777,1859.6,1671.38,1755.45,1546.36
20-05-2014,1870,1892.8,1841.05,1856.95,1711.85,1797.95,1628.88
21-05-2014,1858,1867.2,1810.05,1815.15,1746.46,1836.12,1628.88
22-05-2014,1829,1858,1805.1,1841.65,1780.04,1873.18,1628.88
23-05-2014,1846.25,1873.45,1840,1864.5,1803.48,1880.64,1637.57
26-05-2014,1877,1928.8,1848,1872.95,1823.06,1881.61,1682.48
27-05-2014,1859.1,1872.3,1830.05,1849.05,1821.91,1878.55,1775.4
28-05-2014,1849.05,1875,1825.25,1859.9,1823.61,1884.55,1803.48
29-05-2014,1859,1893.4,1850.5,1865.7,1823.61,1889.45,1803.48
30-05-2014,1869,1869,1824,1836.15,1822.36,1886.14,1803.48
02-06-2014,1832.25,1907,1822.55,1900.85,1820.91,1888.65,1820.91
03-06-2014,1909.9,1924.9,1888,1899.65,1820.91,1898.56,1820.91
04-06-2014,1892,1933,1881.1,1924.7,1855.6,1911.22,1820.91
